question_id,method,hit_rate_at_5,hit_rate_at_10,mrr_at_10,ndcg_at_10,top_work_ids
q01,bm25,0.0,1.0,0.1,0.17723928678404774,"[""W4389984066"", ""W4400585749"", ""W4411203672"", ""W4403248625"", ""W4406542750"", ""W4412673524"", ""W4396913672"", ""W4393147129"", ""W4386556635"", ""W4401042808""]"
q02,bm25,0.0,0.0,0.0,0.0,"[""W4391709255"", ""W4391418506"", ""W4416354085"", ""W4412673524"", ""W4405810201"", ""W4411403197"", ""W4412376862"", ""W4400529080"", ""W4404944302"", ""W4410600121""]"
q03,bm25,0.0,0.0,0.0,0.0,"[""W4396913672"", ""W4400187039"", ""W4389520468"", ""W4411549467"", ""W4402671152"", ""W4402683011"", ""W4403770186"", ""W4389895211"", ""W4398173773"", ""W4403443396""]"
q04,bm25,1.0,1.0,1.0,1.0,"[""W4399530612"", ""W4406892656"", ""W4402671152"", ""W4411403197"", ""W4408323770"", ""W4400601280"", ""W4399738410"", ""W4404954244"", ""W4403770186"", ""W4408184619""]"
q05,bm25,1.0,1.0,0.3333333333333333,0.3065735963827292,"[""W4392019609"", ""W4402670290"", ""W4404782883"", ""W4404781523"", ""W3027879771"", ""W4403646833"", ""W4404351611"", ""W4398160786"", ""W4408188072"", ""W4396941482""]"
q06,bm25,1.0,1.0,0.2,0.45560514958746035,"[""W4376312546"", ""W4412376862"", ""W4404781368"", ""W4402667139"", ""W4402671152"", ""W4389519118"", ""W7147488212"", ""W4412889429"", ""W4409386825"", ""W3126880001""]"
q07,bm25,0.0,0.0,0.0,0.0,"[""W4389520468"", ""W4412376862"", ""W4404188586"", ""W4411120544"", ""W4399115692"", ""W4402671152"", ""W4405810201"", ""W4403770186"", ""W4412887679"", ""W4409657237""]"
q08,bm25,1.0,1.0,0.5,0.6934264036172708,"[""W4317898419"", ""W4407856367"", ""W4404351611"", ""W4403447129"", ""W4410600121"", ""W4408184619"", ""W4408147114"", ""W4411379560"", ""W4394619840""]"
q09,bm25,0.0,0.0,0.0,0.0,"[""W4408353799"", ""W4400267753"", ""W4376312546"", ""W4402671152"", ""W4408474238"", ""W4410357080"", ""W4412376862"", ""W4389520468"", ""W4404188586"", ""W4403749687""]"
q10,bm25,1.0,1.0,0.2,0.38685280723454163,"[""W4394838812"", ""W4409050454"", ""W4404783652"", ""W4392544551"", ""W4401042735"", ""W4414692788"", ""W4399154003"", ""W4403702563"", ""W4401857375"", ""W4414925442""]"
q11,bm25,1.0,1.0,0.5,0.2960819109658652,"[""W4392019609"", ""W4402670290"", ""W4403646833"", ""W3088056511"", ""W4396823873"", ""W4317898419"", ""W4411120331"", ""W4396941482"", ""W4413145389"", ""W4412376862""]"
q12,bm25,1.0,1.0,1.0,0.6131471927654584,"[""W4409348640"", ""W4400601280"", ""W4406421570"", ""W4403770186"", ""W4402727784"", ""W4394895557"", ""W4399530612"", ""W4409050454"", ""W4402671152"", ""W4403493226""]"
q13,bm25,1.0,1.0,1.0,0.8175295903539445,"[""W4389520468"", ""W4412376862"", ""W4391418506"", ""W4391709255"", ""W4410600121"", ""W4411379560"", ""W4404622689"", ""W4410952162"", ""W4406212021"", ""W4396941482""]"
q14,bm25,1.0,1.0,1.0,1.0,"[""W4392487838"", ""W4400528326"", ""W4406174106"", ""W3098425262"", ""W4411486143"", ""W4416035296"", ""W4408147114"", ""W4403646833"", ""W4389520468"", ""W4412376862""]"
q15,bm25,0.0,1.0,0.14285714285714285,0.2429718246796358,"[""W4402671152"", ""W4411552568"", ""W4402854593"", ""W4404954244"", ""W4406542750"", ""W4389520468"", ""W4226069413"", ""W4376312546"", ""W4412376862"", ""W4284670538""]"
q16,bm25,1.0,1.0,0.5,0.38685280723454163,"[""W4410357080"", ""W4402811916"", ""W4408566170"", ""W4287891177"", ""W4412376862"", ""W4406260843"", ""W4411403197"", ""W4408323770"", ""W4413114507"", ""W4414128336""]"
q01,dense,1.0,1.0,1.0,1.0,"[""W4401042808"", ""W4411630045"", ""W4404782883"", ""W4411119426"", ""W4393299232"", ""W4411486516"", ""W4404792869"", ""W7118085507"", ""W4226069413"", ""W4412889884""]"
q02,dense,0.0,0.0,0.0,0.0,"[""W4403578737"", ""W4408364330"", ""W4396913672"", ""W4403678805"", ""W4393621491"", ""W7114889968"", ""W4407197060"", ""W4398173773"", ""W4404781523"", ""W4394947112""]"
q03,dense,1.0,1.0,0.5,0.38685280723454163,"[""W4386556635"", ""W4393147129"", ""W4407197060"", ""W4404782883"", ""W4401857375"", ""W4396913672"", ""W4411119426"", ""W4401042808"", ""W4404781523"", ""W4389519118""]"
q04,dense,1.0,1.0,0.2,0.38685280723454163,"[""W4403560390"", ""W4406421570"", ""W4388594005"", ""W4408474238"", ""W4399530612"", ""W4411203672"", ""W4411486143"", ""W4404944302"", ""W3027879771"", ""W4406728516""]"
q05,dense,1.0,1.0,1.0,0.6131471927654584,"[""W4404782883"", ""W4411486516"", ""W4410929991"", ""W4411119426"", ""W4393299232"", ""W7118085507"", ""W4410301020"", ""W4403578737"", ""W4389519118"", ""W4412887933""]"
q06,dense,1.0,1.0,1.0,0.6131471927654584,"[""W4389519118"", ""W4401857375"", ""W4406421570"", ""W4411119426"", ""W4411181503"", ""W4393147129"", ""W4386556635"", ""W4403560390"", ""W4411203672"", ""W7114889968""]"
q07,dense,1.0,1.0,1.0,0.7737459235132744,"[""W4411119292"", ""W4406840433"", ""W4403589311"", ""W4406031095"", ""W4412889884"", ""W4412886844"", ""W4416379250"", ""W4404954244"", ""W4412889887"", ""W4413360566""]"
q08,dense,1.0,1.0,1.0,0.8772153153380493,"[""W4404351611"", ""W4414692788"", ""W4416035296"", ""W4407856367"", ""W4394619840"", ""W4408147114"", ""W4403447129"", ""W4416034797"", ""W4406840433""]"
q09,dense,1.0,1.0,1.0,1.0,"[""W4402670423"", ""W4408353799"", ""W4410929991"", ""W4411379560"", ""W4403702563"", ""W4411486516"", ""W4400529080"", ""W4404782883"", ""W7114889968"", ""W4408323770""]"
q10,dense,1.0,1.0,1.0,1.0,"[""W4401042735"", ""W4394838812"", ""W4404783652"", ""W4392597393"", ""W4399154003"", ""W4414925442"", ""W4407197060"", ""W4400528326"", ""W4411630045"", ""W7114889968""]"
q11,dense,1.0,1.0,0.5,0.431733884398313,"[""W4411120331"", ""W4402670290"", ""W4392019609"", ""W4404622689"", ""W4411181503"", ""W4391620737"", ""W4414128336"", ""W4413114507"", ""W4411026655"", ""W4409157497""]"
q12,dense,1.0,1.0,1.0,0.8315546295836225,"[""W4409348640"", ""W4406263753"", ""W4400601280"", ""W4394895557"", ""W4403560390"", ""W4410362031"", ""W4406260843"", ""W4408734515"", ""W4406728516""]"
q13,dense,0.0,0.0,0.0,0.0,"[""W4407197060"", ""W4403560390"", ""W4411486143"", ""W4404781523"", ""W4393299232"", ""W7118085507"", ""W4412376862"", ""W4394947112"", ""W4406728516"", ""W4403578737""]"
q14,dense,0.0,0.0,0.0,0.0,"[""W4404782883"", ""W4412889884"", ""W4411119426"", ""W4389519118"", ""W4411119292"", ""W4391418506"", ""W4410929991"", ""W4411630045"", ""W4411486516"", ""W7114889968""]"
q15,dense,0.0,1.0,0.14285714285714285,0.13012668333070054,"[""W4404782883"", ""W4389519118"", ""W4411119426"", ""W4411630045"", ""W4412889884"", ""W4401042808"", ""W4226069413"", ""W4403578737"", ""W7114889968"", ""W4391418506""]"
q16,dense,1.0,1.0,1.0,0.9197207891481876,"[""W4402811916"", ""W4410357080"", ""W4387156782"", ""W4408566170"", ""W4410929991"", ""W4411630045"", ""W4401042808"", ""W4411119292"", ""W4412376862"", ""W4408581964""]"
q01,hybrid,1.0,1.0,1.0,0.8175295903539445,"[""W4401042808"", ""W4389984066"", ""W4396913672"", ""W4403248625"", ""W4406542750"", ""W4411119426"", ""W4411630045"", ""W4400585749"", ""W4411203672"", ""W4393299232""]"
q02,hybrid,1.0,1.0,0.25,0.2640681225725909,"[""W4391709255"", ""W4391418506"", ""W4412673524"", ""W4400526126"", ""W4403578737"", ""W4412376862"", ""W4405810201"", ""W4401857375"", ""W4404792856"", ""W4404944302""]"
q03,hybrid,1.0,1.0,0.5,0.5640920940185894,"[""W4396913672"", ""W4393147129"", ""W4386556635"", ""W4402683011"", ""W4389520468"", ""W4402671152"", ""W4411549467"", ""W4398173773"", ""W4401857375"", ""W4403560390""]"
q04,hybrid,1.0,1.0,1.0,1.0,"[""W4399530612"", ""W4403560390"", ""W4406892656"", ""W4406421570"", ""W4411203672"", ""W4388594005"", ""W4408734515"", ""W4408323770"", ""W4408474238"", ""W4411486143""]"
q05,hybrid,1.0,1.0,1.0,0.6131471927654584,"[""W4404782883"", ""W4392019609"", ""W4402670290"", ""W4404781523"", ""W4393299232"", ""W7118085507"", ""W4398160786"", ""W7114889968"", ""W4410362031"", ""W4410929991""]"
q06,hybrid,1.0,1.0,0.3333333333333333,0.5437713091520254,"[""W4376312546"", ""W4412376862"", ""W4389519118"", ""W4404781368"", ""W4402671152"", ""W4401857375"", ""W4402667139"", ""W4411181503"", ""W7147488212"", ""W4391376072""]"
q07,hybrid,0.0,1.0,0.14285714285714285,0.15642624200758548,"[""W4389520468"", ""W4412376862"", ""W4404188586"", ""W4411120544"", ""W4399115692"", ""W4406031095"", ""W4404954244"", ""W4412887679"", ""W4413360566"", ""W4406840433""]"
q08,hybrid,1.0,1.0,1.0,1.0,"[""W4407856367"", ""W4404351611"", ""W4317898419"", ""W4403447129"", ""W4408147114"", ""W4416035296"", ""W4394619840"", ""W4408184619"", ""W4410600121"", ""W4414692788""]"
q09,hybrid,1.0,1.0,0.5,0.6309297535714575,"[""W4408353799"", ""W4402670423"", ""W4411379560"", ""W4403702563"", ""W4400267753"", ""W4412376862"", ""W4408323770"", ""W4403560390"", ""W4376312546"", ""W4401857375""]"
q10,hybrid,1.0,1.0,0.5,0.6309297535714575,"[""W4394838812"", ""W4401042735"", ""W4404783652"", ""W4399154003"", ""W4414925442"", ""W4392597393"", ""W4407197060"", ""W4409050454"", ""W4401857375"", ""W4400528326""]"
q11,hybrid,1.0,1.0,0.5,0.2960819109658652,"[""W4392019609"", ""W4402670290"", ""W4411120331"", ""W4403646833"", ""W3088056511"", ""W4404622689"", ""W4414128336"", ""W4413114507"", ""W4411181503"", ""W4406813548""]"
q12,hybrid,1.0,1.0,1.0,0.8503449055347546,"[""W4409348640"", ""W4400601280"", ""W4406263753"", ""W4394895557"", ""W4410362031"", ""W4408734515"", ""W4406260843"", ""W4399530612"", ""W4391631359"", ""W4406523506""]"
q13,hybrid,1.0,1.0,0.3333333333333333,0.3065735963827292,"[""W4412376862"", ""W4407197060"", ""W4389520468"", ""W4393299232"", ""W7118085507"", ""W4403578737"", ""W4404781523"", ""W4394947112"", ""W4410600121"", ""W4391418506""]"
q14,hybrid,1.0,1.0,1.0,1.0,"[""W4392487838"", ""W4412376862"", ""W3098425262"", ""W4389520468"", ""W4391418506"", ""W4400528326"", ""W4401857375"", ""W4404782883"", ""W4407197060"", ""W4411486516""]"
q15,hybrid,1.0,1.0,0.5,0.3764290720714305,"[""W4402671152"", ""W4226069413"", ""W4389520468"", ""W4402854593"", ""W4403578737"", ""W4404782883"", ""W4284670538"", ""W4412376862"", ""W4376312546"", ""W4404954244""]"
q16,hybrid,1.0,1.0,0.5,0.6509209298071326,"[""W4410357080"", ""W4402811916"", ""W4408566170"", ""W4387156782"", ""W4412376862"", ""W4408323770"", ""W4287891177"", ""W4391418506"", ""W4414128336"", ""W4396913672""]"
q01,hybrid_rerank,1.0,1.0,1.0,0.8065735963827293,"[""W4401042808"", ""W4403248625"", ""W4411549467"", ""W4396913672"", ""W4403678805"", ""W4403702563"", ""W4400526126"", ""W4411630045"", ""W4391620737"", ""W4389984066""]"
q02,hybrid_rerank,1.0,1.0,1.0,0.6131471927654584,"[""W4400526126"", ""W4412673524"", ""W4403493226"", ""W4405810201"", ""W4396913672"", ""W4410600121"", ""W4406260843"", ""W4404694648"", ""W4393621491"", ""W4400529080""]"
q03,hybrid_rerank,1.0,1.0,0.5,0.6934264036172708,"[""W4386556635"", ""W4393147129"", ""W4403560390"", ""W4392115043"", ""W4404781523"", ""W4414371540"", ""W4396913672"", ""W4403678805"", ""W4409047983"", ""W4411549467""]"
q04,hybrid_rerank,1.0,1.0,1.0,1.0,"[""W4399530612"", ""W4406892656"", ""W4403560390"", ""W4404944302"", ""W4408734515"", ""W4412673524"", ""W4408184619"", ""W4408323770"", ""W7114889968""]"
q05,hybrid_rerank,1.0,1.0,0.3333333333333333,0.3065735963827292,"[""W4402670290"", ""W4392019609"", ""W4404782883"", ""W4398160786"", ""W4404781523"", ""W3027879771"", ""W7118085507"", ""W7114889968"", ""W4391418506"", ""W4406031095""]"
q06,hybrid_rerank,1.0,1.0,0.5,0.38685280723454163,"[""W4376312546"", ""W4402671152"", ""W7147488212"", ""W4389520468"", ""W4404781368"", ""W4412889429"", ""W4402667139"", ""W4412376862"", ""W4391418506"", ""W4411181503""]"
q07,hybrid_rerank,0.0,0.0,0.0,0.0,"[""W4410600121"", ""W4404188586"", ""W4406031095"", ""W4416354085"", ""W4416034797"", ""W4399115692"", ""W4411120544"", ""W4403347014"", ""W4405810201"", ""W4412887679""]"
q08,hybrid_rerank,1.0,1.0,1.0,1.0,"[""W4404351611"", ""W4407856367"", ""W4403447129"", ""W4408147114"", ""W4410600121"", ""W4394619840"", ""W4416354085"", ""W4414692788"", ""W4396823873"", ""W4393621491""]"
q09,hybrid_rerank,0.0,0.0,0.0,0.0,"[""W4408353799"", ""W4408474238"", ""W4413114507"", ""W4414128336"", ""W4403702563"", ""W4407278810"", ""W4402727784"", ""W4401857375"", ""W4404188586"", ""W4376312546""]"
q10,hybrid_rerank,1.0,1.0,0.5,0.6309297535714575,"[""W4394838812"", ""W4401042735"", ""W4399154003"", ""W4407197060"", ""W4403702563"", ""W7114889968"", ""W4414128336"", ""W4400528326"", ""W4411486516"", ""W4413114507""]"
q11,hybrid_rerank,1.0,1.0,1.0,0.46927872602275644,"[""W4402670290"", ""W4392019609"", ""W4404622689"", ""W4406260843"", ""W4402669975"", ""W4413114507"", ""W3088056511"", ""W4408474238"", ""W4393621491"", ""W4414128336""]"
q12,hybrid_rerank,1.0,1.0,1.0,0.6131471927654584,"[""W4409348640"", ""W4406523506"", ""W4406260843"", ""W4398218462"", ""W4394895557"", ""W4400601280"", ""W4391631359"", ""W4403646833"", ""W4399530612"", ""W4404136861""]"
q13,hybrid_rerank,0.0,1.0,0.1,0.17723928678404774,"[""W4408323770"", ""W4411486516"", ""W4402683011"", ""W4407197060"", ""W4404792856"", ""W4410600121"", ""W4412376862"", ""W4412889429"", ""W4411379560"", ""W4404622689""]"
q14,hybrid_rerank,1.0,1.0,1.0,1.0,"[""W4392487838"", ""W3098425262"", ""W4409657237"", ""W4408147114"", ""W4400528326"", ""W4406174106"", ""W4407298138"", ""W4404622689"", ""W4411606774"", ""W4402669975""]"
q15,hybrid_rerank,1.0,1.0,1.0,0.3903800499921017,"[""W4226069413"", ""W4403578737"", ""W4402854593"", ""W4403589311"", ""W4396913672"", ""W4416379250"", ""W4394947112"", ""W4412887933"", ""W4393299232"", ""W4404783788""]"
q16,hybrid_rerank,1.0,1.0,1.0,0.8315546295836225,"[""W4402811916"", ""W4401113920"", ""W4396913672"", ""W4410952162"", ""W4410357080"", ""W4387156782"", ""W4404792869"", ""W4413114507"", ""W4414128336"", ""W4287891177""]"
